Название канала;Число подписчиков;Прирост подписчиков за неделю;Ссылка на анализ канала
Топор 18+;3'801'982;+515'929;https://telemetr.me/joinchat/hnX28dPDVaY0ZmVi
Дмитрий Медведев;485'999;+142'787;https://telemetr.me/@medvedev_telegram
Прямой эфир;1'476'039;+82'090;https://telemetr.me/joinchat/UwRv4tBCxsE0ZmQy
Фотоаппарат;486'507;+68'443;https://telemetr.me/joinchat/1EEWAo1mO44zODgy
Удалёнка без опыта | Фриланс;388'777;+54'113;https://telemetr.me/@from_home
Новостник;1'028'296;+53'354;https://telemetr.me/joinchat/yhgGpaSLSHZjNDZi
rise | темки и языки для тг;554'907;+51'060;https://telemetr.me/joinchat/FGc4aosnTPhjM2Iy
Злой Заяц;395'274;+49'769;https://telemetr.me/joinchat/sZxztSXPQpA4NTRi
Всевидящее ОКО 🇺🇦 Украина;1'168'121;+47'338;https://telemetr.me/joinchat/zL2WW9FCkME0M2Ni
NFT головного мозга;1'159'481;+36'379;https://telemetr.me/joinchat/xPKMUzR1FGo1Yjgy
РОССИЯ СЕЙЧАС;492'259;+35'597;https://telemetr.me/joinchat/xu-54nNkEiFlMWRi
Инспектор;255'687;+35'303;https://telemetr.me/@auto_inspektor
Эксплойт;608'070;+35'118;https://telemetr.me/@exploitex
TON GUYS 👽| 😼 NFT;171'859;+34'717;https://telemetr.me/joinchat/R0MX5YS0OgViMDQy
