Название канала;Число подписчиков;Прирост подписчиков за месяц;Стоимость одного поста;Ссылка на канал
Фотоаппарат;489'211;+216'041; 9000 р .;https://tmtr.me/joinchat/1EEWAo1mO44zODgy
Фото из 90-х;65'434;+58'651;Не  указано;https://tmtr.me/joinchat/sfXj9mhsXNkzOWUy
Галерея в кармане;44'282;+41'814;Не  указано;https://tmtr.me/joinchat/7LPxgsfm9zkyNmY6
Л'Этуаль;177'606;+34'450;Не  указано;https://tmtr.me/letoileofficial
Моя дача. Сад и огород;247'293;+29'068;Не  указано;https://tmtr.me/dacha_my
Кушать подано;80'035;+25'011;Не  указано;https://tmtr.me/boniapetit
Худей • Молодей;147'814;+23'074;Не  указано;https://tmtr.me/slimandyoung
Лайфхаки | Кулинария & Рецепты;175'402;+21'576;Не  указано;https://tmtr.me/procrafts
Заброшенный мир;20'878;+20'677;Не  указано;https://tmtr.me/joinchat/J12HgEbYfyplOTYy
Красота и Здоровье;213'532;+20'105;Не  указано;https://tmtr.me/krasota_11
ВКУСНАЯ ЕДА;155'671;+19'376;Не  указано;https://tmtr.me/easy_eda
sweet NSFW;32'793;+17'917;Не  указано;https://tmtr.me/joinchat/eCgclcbCh7EzNThi
Моя квартира;329'669;+17'280; 9500 р .;https://tmtr.me/mykvrt
Книга рецептов;479'890;+16'273;Не  указано;https://tmtr.me/receptok
Real History;212'161;+15'375;Не  указано;https://tmtr.me/realhist
Выставка;98'694;+85'760;Не  указано;https://tmtr.me/joinchat/hKiQn2fqdvNlZjUy
Фотоплёнка;250'869;+47'519;Не  указано;https://tmtr.me/joinchat/kh8_sE9qoL8zYWRi
Рецепт На Миллион;127'724;+36'381;Не  указано;https://tmtr.me/joinchat/ZzpGPdKkHxNhMjVi
NFT на доступном;282'136;+30'850;Не  указано;https://tmtr.me/nft_reality
😋 ЕшьХудей - ПП Рецепты;273'657;+28'194;Не  указано;https://tmtr.me/eatlose
Ландшафтный дизайн участка;70'564;+24'786;Не  указано;https://tmtr.me/dizayn_landshaft
astro geeks;321'651;+22'480;Не  указано;https://tmtr.me/joinchat/0Yc4ylbYku9jNDJi
🥒 САЛАТЫ И ЗАГОТОВКИ 🍎;264'614;+21'185;Не  указано;https://tmtr.me/mir_salatov_pp
Шедевры кулинарии;159'316;+20'241;Не  указано;https://tmtr.me/shecook
Мясная кухня;340'772;+19'798;Не  указано;https://tmtr.me/meat_cookroom
Рецепты на каждый день;342'206;+18'290;Не  указано;https://tmtr.me/cooking_11
Bad History;259'045;+17'436;Не  указано;https://tmtr.me/badhisto
Твой гороскоп 🌌;18'997;+16'695;Не  указано;https://tmtr.me/horoscopes_s
Астрология | Гороскоп | Таро | Эзотерика;191'336;+16'105; 6900 р .;https://tmtr.me/astrotmbl
Сковородка;67'074;+14'972;Не  указано;https://tmtr.me/joinchat/TliIHx-yMagyZjUy
